	New York	New Jersey	New York City
2/1/1997	109.6331514	111.3142868	115.2633708
3/1/1997	109.8630694	111.6934512	115.759106
4/1/1997	110.1305777	112.0638167	116.2734875
5/1/1997	110.4322167	112.4070819	116.8086292
6/1/1997	110.8251945	112.7766279	117.3684573
7/1/1997	111.2843881	113.1434553	117.9546044
8/1/1997	111.7964477	113.5063776	118.5619313
9/1/1997	112.4351767	113.9108442	119.1843022
10/1/1997	113.0929702	114.3053663	119.8113487
11/1/1997	113.6785666	114.6676021	120.4362657
12/1/1997	114.2002133	115.0162319	121.0555209
1/1/1998	114.7485531	115.3533142	121.6663023
2/1/1998	115.2307747	115.6258225	122.2691624
3/1/1998	115.8588529	115.958314	122.8655153
4/1/1998	116.3849876	116.2695152	123.4568692
5/1/1998	116.9122953	116.6243526	124.0454726
6/1/1998	117.414776	116.9730597	124.6306396
7/1/1998	117.8806433	117.334359	125.2087993
8/1/1998	118.3839687	117.6831845	125.7755649
9/1/1998	118.7935876	118.0475201	126.3311501
10/1/1998	119.2754035	118.4569408	126.8832031
11/1/1998	119.789138	118.8365442	127.4371011
12/1/1998	120.4379656	119.2211884	127.9954984
1/1/1999	121.0693338	119.5816539	128.5601878
2/1/1999	121.7467096	119.9531897	129.1305672
3/1/1999	122.3173618	120.2259442	129.7105085
4/1/1999	122.8779788	120.5233887	130.3076246
5/1/1999	123.3977406	120.7385061	130.9310209
6/1/1999	123.8426312	121.0167602	131.5899266
7/1/1999	124.3417576	121.3981831	132.2892641
8/1/1999	124.8397642	121.7466815	133.0281542
9/1/1999	125.3536362	122.0929617	133.80575
10/1/1999	125.900926	122.5428604	134.6205215
11/1/1999	126.5241579	123.0387619	135.461424
12/1/1999	127.1216654	123.5633068	136.3152394
1/1/2000	127.7293605	124.0711293	137.1704031
2/1/2000	128.4033545	124.5858475	138.0161694
3/1/2000	129.0087552	125.0970664	138.840517
4/1/2000	129.6397986	125.502475	139.6318577
5/1/2000	130.1758151	125.8540877	140.3722902
6/1/2000	130.6266601	126.0938617	141.0523617
7/1/2000	131.0546082	126.281443	141.6692468
8/1/2000	131.4657835	126.4529243	142.2243892
9/1/2000	131.9071096	126.6367438	142.7116281
10/1/2000	132.2757075	126.7337016	143.1107099
11/1/2000	132.5819554	126.8216225	143.4022858
12/1/2000	132.6829498	126.7599738	143.5704248
1/1/2001	132.6833861	126.6406537	143.601023
2/1/2001	132.4849398	126.5672843	143.482859
3/1/2001	132.1377116	126.5187083	143.2113392
4/1/2001	131.6355162	126.5051733	142.7879752
5/1/2001	131.0140226	126.4888246	142.2274562
6/1/2001	130.2583971	126.4646995	141.5467768
7/1/2001	129.3340922	126.3541241	140.7661744
